Trial	Beat	Sentence	Sentence_extraction	Congruency	Validity	Sensitivity	Probe	Response	Accuracy	RT
48	binary	['n', '*', 'z', '+', 'f', '*', 'u']	*+*	incongruent	True	insensitive	u * f + z * n	y	1	3.6827209029579535
49	binary	['y', '*', 'f', '+', 'w', '*', 'h']	*+*	congruent	True	sensitive	w * h + y * f	y	1	1.7849627360119484
50	binary	['f', '+', 'x', '*', 'y', '+', 'c']	+*+	incongruent	False	insensitive	x + y * f + c	n	1	2.502791965031065
51	binary	['g', '*', 'h', '+', 'e', '*', 'm']	*+*	incongruent	False	insensitive	h * e + g * m	n	1	2.053993187029846
52	binary	['p', '+', 'k', '*', 'j', '+', 'b']	+*+	congruent	True	sensitive	p + j * k + b	y	1	1.1209073679638095
53	binary	['h', '+', 'c', '*', 'd', '+', 'u']	+*+	incongruent	True	insensitive	u + d * c + h	y	1	1.2374216829775833
54	binary	['y', '+', 'r', '*', 'j', '+', 'd']	+*+	congruent	True	sensitive	j + d * y + r	n	0	1.9865254560136236
55	binary	['k', '*', 'b', '+', 's', '*', 'z']	*+*	congruent	True	insensitive	z * s + b * k	y	1	1.7695241670007817
56	binary	['e', '*', 'm', '+', 'v', '*', 'j']	*+*	incongruent	True	sensitive	m * e + j * v	y	1	1.420372435997706
57	binary	['u', '*', 'h', '+', 'c', '*', 'k']	*+*	congruent	True	sensitive	h * u + k * c	y	1	1.5364451379864477
58	binary	['h', '*', 'q', '+', 'b', '*', 'a']	*+*	congruent	False	sensitive	h * b + q * a	n	1	2.853444968990516
59	binary	['b', '*', 'f', '+', 'n', '*', 's']	*+*	incongruent	False	insensitive	f * n + b * s	n	1	2.5547264480264857
60	binary	['n', '*', 'u', '+', 'j', '*', 'k']	*+*	incongruent	True	insensitive	n * u + j * k	y	1	3.919177575968206
61	binary	['k', '+', 'n', '*', 'p', '+', 'r']	+*+	congruent	True	sensitive	k + p * n + r	y	1	2.9201668410096318
62	binary	['r', '*', 'p', '+', 'm', '*', 'j']	*+*	incongruent	False	sensitive	r * m + p * j	n	1	3.0528013670118526
63	binary	['b', '+', 'r', '*', 'v', '+', 'z']	+*+	congruent	True	insensitive	b + r * v + z	n	0	0.9831554599804804
64	binary	['r', '+', 'v', '*', 'd', '+', 'z']	+*+	incongruent	True	sensitive	r + d * v + z	y	1	1.203788305982016
65	binary	['w', '*', 't', '+', 'k', '*', 'f']	*+*	congruent	False	insensitive	t * k + w * f	n	1	1.770450720039662
66	binary	['b', '+', 'v', '*', 'a', '+', 'k']	+*+	incongruent	True	sensitive	b + a * v + k	y	1	0.8357736069592647
67	binary	['m', '+', 'p', '*', 't', '+', 'q']	+*+	incongruent	True	sensitive	q + p * t + m	y	1	1.7705626789829694
68	binary	['a', '*', 'j', '+', 'q', '*', 's']	*+*	incongruent	False	sensitive	s * j + q * a	n	1	1.970886894967407
69	binary	['z', '*', 'x', '+', 'v', '*', 'y']	*+*	congruent	False	sensitive	z * v + x * y	n	1	3.3023621500469744
70	binary	['r', '+', 't', '*', 'p', '+', 'g']	+*+	congruent	True	sensitive	g + t * p + r	y	1	0.8535649569821544
71	binary	['n', '+', 'c', '*', 'd', '+', 'j']	+*+	incongruent	True	sensitive	d + j * n + c	n	0	3.7694648830220103
72	binary	['m', '+', 'q', '*', 'f', '+', 'h']	+*+	congruent	False	insensitive	f + m * h + q	n	1	0.8869760879897512
73	binary	['t', '+', 'y', '*', 'u', '+', 'c']	+*+	incongruent	True	sensitive	u + c * t + y	n	0	1.5021951799863018
