Trial	Beat	Sentence	Sentence_extraction	Congruency	Validity	Sensitivity	Probe	Response	Accuracy	RT
1	binary2	['y', '+', 'd', '*', 'z', '+', 'k']	+*+	congruent	True	sensitive	z + k * y + d	n	0	1.837206842028536
2	binary2	['v', '*', 'z', '+', 'p', '*', 'k']	*+*	congruent	True	insensitive	k * p + z * v	y	1	1.5873858819832094
3	binary	['a', '+', 'd', '*', 'z', '+', 'w']	+*+	congruent	True	insensitive	a + d * z + w	y	1	1.287120058957953
4	binary2	['e', '+', 't', '*', 'v', '+', 'j']	+*+	congruent	True	insensitive	e + t * v + j	y	1	0.9529755460098386
5	binary2	['j', '+', 'w', '*', 't', '+', 's']	+*+	incongruent	True	sensitive	t + s * j + w	n	0	3.7360952720046043
6	binary2	['b', '+', 'k', '*', 'd', '+', 'f']	+*+	incongruent	True	insensitive	f + d * k + b	y	1	1.9869893800350837
7	binary2	['x', '*', 's', '+', 'b', '*', 'w']	*+*	congruent	False	sensitive	x * b + s * w	y	0	2.4532873120042495
8	binary2	['e', '*', 'f', '+', 'd', '*', 'k']	*+*	incongruent	False	sensitive	k * f + d * e	n	1	2.4039341109455563
9	binary	['b', '*', 'd', '+', 'g', '*', 'j']	*+*	incongruent	True	sensitive	d * b + j * g	d	0	3.4160196819575503
10	binary2	['z', '*', 'r', '*', 'd', '+', 'q']	**+	incongruent	assorted	assorted	q * r * d + z	d	0	3.8546698270365596
11	nonaccent	['k', '*', 'm', '+', 'h', '*', 'c']	*+*	neutral	False	sensitive	k * h + m * c	y	0	3.4703535509761423
12	binary2	['h', '*', 'f', '*', 'q', '+', 'n']	**+	incongruent	assorted	assorted	n * q * f + h	d	0	2.5703337870072573
13	binary	['p', '*', 'u', '+', 'b', '/', 'n']	*+/	incongruent	assorted	assorted	b * p + n / u	d	0	6.620384528010618
14	binary	['u', '*', 'z', '+', 'y', '/', 'c']	*+/	incongruent	assorted	assorted	u * y + z / c	n	0	4.520934002997819
15	binary	['w', '*', 'd', '+', 'v', '*', 'h']	*+*	incongruent	True	insensitive	w * d + v * h	y	1	1.7210041509824805
16	binary	['b', '+', 'v', '*', 'q', '+', 'w']	+*+	congruent	True	insensitive	w + q * v + b	y	1	1.587609964015428
17	nonaccent	['f', '+', 'k', '*', 'b', '+', 'x']	+*+	neutral	False	insensitive	b + f * x + k	n	1	2.3691464830189943
18	binary	['k', '*', 'f', '+', 'j', '/', 'y']	*+/	congruent	assorted	assorted	y * j + f / k	y	0	20.78216857899679
19	nonaccent	['g', '*', 'h', '+', 't', '*', 'j']	*+*	neutral	True	sensitive	t * j + g * h	d	0	6.5209846799843945
20	nonaccent	['h', '*', 'n', '+', 'k', '*', 'e']	*+*	neutral	False	insensitive	k * h + e * n	n	1	1.3654789189458825
21	binary	['a', '*', 'z', '+', 'g', '*', 'm']	*+*	incongruent	True	insensitive	m * g + z * a	y	1	1.6531821580138057
22	binary2	['e', '+', 'a', '*', 't', '+', 'w']	+*+	congruent	True	sensitive	a + e * w + t	n	0	3.7195789449615404
23	binary	['j', '*', 'r', '+', 'n', '*', 'a']	*+*	incongruent	True	insensitive	j * r + n * a	d	0	6.386129571008496
24	binary2	['m', '*', 'r', '+', 'e', '*', 'p']	*+*	congruent	False	sensitive	p * r + e * m	n	1	1.2533725199755281
25	binary	['t', '*', 'u', '+', 'b', '*', 'r']	*+*	incongruent	False	sensitive	t * b + u * r	n	1	1.7997792979585938
26	nonaccent	['q', '*', 'g', '+', 's', '*', 'n']	*+*	neutral	False	insensitive	g * s + q * n	n	1	1.4700158960185945
27	binary2	['b', '*', 'c', '*', 'q', '+', 'u']	**+	congruent	assorted	assorted	q * u * b + c	y	0	2.036937073979061
28	binary2	['t', '*', 'f', '+', 'v', '*', 'c']	*+*	congruent	True	insensitive	c * v + f * t	y	1	2.1870037600165233
29	binary2	['u', '*', 'h', '*', 'w', '+', 'a']	**+	incongruent	assorted	assorted	h * u * a + w	d	0	1.5703948650043458
30	binary	['w', '*', 'e', '+', 'h', '*', 'r']	*+*	congruent	True	insensitive	r * h + e * w	y	1	1.0331114460132085
31	binary2	['c', '*', 'b', '+', 'a', '/', 'g']	*+/	incongruent	assorted	assorted	a * g + c / b	n	0	2.5212455729488283
32	binary	['d', '+', 't', '*', 'j', '+', 's']	+*+	incongruent	True	insensitive	d + t * j + s	y	1	1.4701894610188901
33	nonaccent	['n', '+', 'r', '*', 'x', '+', 'e']	+*+	neutral	True	insensitive	n + r * x + e	y	1	0.9200945220072754
34	binary2	['z', '*', 'j', '*', 'r', '+', 'g']	**+	congruent	assorted	assorted	z * j * r + g	n	0	7.770532468974125
35	nonaccent	['r', '+', 'y', '*', 'd', '+', 'a']	+*+	neutral	True	insensitive	a + d * y + r	y	1	1.3192629939876497
36	binary	['q', '+', 'c', '*', 'd', '+', 'a']	+*+	incongruent	True	sensitive	c + q * a + d	n	0	1.8879351789946668
37	nonaccent	['f', '*', 'g', '+', 'z', '*', 's']	*+*	neutral	False	sensitive	f * z + g * s	y	0	1.3045455639949068
38	nonaccent	['q', '+', 'f', '*', 'u', '+', 'c']	+*+	neutral	True	insensitive	c + u * f + q	n	0	19.836281129042618
39	binary2	['b', '+', 'p', '*', 's', '+', 'n']	+*+	congruent	True	sensitive	b + s * p + n	y	1	1.402781548036728
40	binary	['f', '+', 'c', '*', 'n', '+', 'k']	+*+	incongruent	True	sensitive	n + k * f + c	n	0	1.9041306450380944
41	binary2	['n', '*', 's', '+', 'u', '*', 'k']	*+*	congruent	True	sensitive	s * n + k * u	y	1	0.937411691993475
42	binary2	['t', '*', 'e', '+', 'j', '*', 'b']	*+*	congruent	False	insensitive	e * j + t * b	n	1	1.6533206889871508
43	binary2	['k', '*', 'c', '*', 'g', '+', 'n']	**+	congruent	assorted	assorted	c * k * n + g	n	0	5.969135280989576
44	binary2	['f', '*', 'n', '+', 'c', '*', 'd']	*+*	incongruent	True	sensitive	c * d + f * n	y	1	1.1384631630498916
45	binary2	['h', '*', 'm', '*', 'c', '+', 'x']	**+	congruent	assorted	assorted	x * c * m + h	n	0	2.3877425499958917
46	binary	['t', '+', 'h', '*', 'x', '+', 'u']	+*+	incongruent	False	insensitive	x + t * u + h	d	0	2.7533964730100706
47	binary2	['b', '*', 'n', '*', 'u', '+', 'f']	**+	incongruent	assorted	assorted	n * u * b + f	n	0	4.187524058972485
48	binary	['w', '*', 'h', '+', 'x', '*', 'p']	*+*	incongruent	False	insensitive	x * w + p * h	d	0	4.369722526986152
49	binary	['s', '+', 'n', '*', 'e', '+', 'h']	+*+	congruent	False	insensitive	n + e * s + h	n	1	1.7377916160039604
50	binary	['q', '*', 'h', '+', 'r', '*', 'd']	*+*	incongruent	False	insensitive	h * r + q * d	n	1	1.6170146220247261
51	binary2	['g', '+', 'n', '*', 'r', '+', 'b']	+*+	congruent	False	insensitive	n + r * g + b	n	1	5.886064725986216
52	nonaccent	['e', '+', 'd', '*', 'n', '+', 'v']	+*+	neutral	True	sensitive	d + e * v + n	n	0	1.4532656379742548
53	binary	['w', '+', 'c', '*', 'h', '+', 'a']	+*+	congruent	True	sensitive	c + w * a + h	n	0	1.3041573420050554
54	binary	['b', '+', 'r', '*', 'j', '+', 'a']	+*+	incongruent	False	insensitive	r + j * b + a	y	0	3.0205500239972025
55	nonaccent	['z', '*', 'y', '+', 'w', '*', 'q']	*+*	neutral	True	insensitive	z * y + w * q	y	1	1.6364338009734638
56	nonaccent	['k', '+', 'g', '*', 'd', '+', 'r']	+*+	neutral	True	sensitive	r + g * d + k	y	1	1.171797691960819
57	binary2	['r', '+', 'z', '*', 's', '+', 'g']	+*+	incongruent	False	insensitive	z + s * r + g	y	0	2.9858629489899613
58	binary2	['v', '*', 'p', '+', 'k', '*', 'x']	*+*	incongruent	True	sensitive	p * v + x * k	y	1	1.053614990960341
59	binary	['e', '+', 'r', '*', 's', '+', 'c']	+*+	congruent	False	insensitive	r + s * e + c	n	1	1.289121619949583
60	binary	['c', '*', 'm', '+', 'j', '*', 'y']	*+*	incongruent	False	insensitive	j * c + y * m	n	1	1.471903869009111
61	binary	['k', '+', 'p', '*', 't', '+', 'c']	+*+	congruent	True	sensitive	k + t * p + c	y	1	1.0371471479884349
62	binary2	['v', '+', 's', '*', 'h', '+', 'b']	+*+	incongruent	True	sensitive	b + s * h + v	y	1	1.320789767021779
63	binary2	['d', '*', 'e', '+', 'q', '*', 'u']	*+*	incongruent	False	insensitive	q * d + u * e	n	1	1.3215187650057487
64	binary2	['p', '*', 'n', '+', 'q', '*', 'v']	*+*	incongruent	False	insensitive	q * p + v * n	n	1	1.4169279460329562
65	binary2	['t', '+', 'n', '*', 'y', '+', 'z']	+*+	incongruent	True	sensitive	n + t * z + y	d	0	1.903754334023688
66	binary	['v', '+', 'q', '*', 'b', '+', 'f']	+*+	incongruent	False	insensitive	b + v * f + q	n	1	1.0374589739949442
67	binary	['j', '+', 'v', '*', 'g', '+', 'z']	+*+	incongruent	True	insensitive	j + v * g + z	y	1	1.269593311008066
68	nonaccent	['p', '*', 'r', '+', 'h', '*', 'd']	*+*	neutral	True	insensitive	d * h + r * p	y	1	1.3543445260147564
69	binary	['g', '*', 'w', '+', 'b', '/', 'f']	*+/	congruent	assorted	assorted	w * b + g / f	n	0	2.550100927997846
70	binary2	['b', '*', 'f', '*', 'w', '+', 'k']	**+	incongruent	assorted	assorted	b * w * f + k	d	0	1.8533471999689937
71	nonaccent	['w', '+', 'h', '*', 'v', '+', 'k']	+*+	neutral	True	sensitive	h + w * k + v	n	0	4.4710146759753115
72	binary	['a', '+', 'x', '*', 'e', '+', 'u']	+*+	incongruent	True	sensitive	u + x * e + a	y	1	1.1866217590286396
73	binary	['q', '*', 's', '+', 'u', '*', 'j']	*+*	congruent	False	insensitive	u * q + j * s	n	1	1.536054361029528
74	binary	['v', '+', 'e', '*', 'y', '+', 'm']	+*+	congruent	False	insensitive	y + v * m + e	n	1	2.2366208389867097
75	nonaccent	['d', '+', 'v', '*', 'k', '+', 'u']	+*+	neutral	False	insensitive	v + k * d + u	n	1	1.2707841160008684
76	binary	['e', '+', 'k', '*', 'n', '+', 'd']	+*+	incongruent	False	insensitive	k + n * e + d	d	0	6.420791373995598
77	binary	['y', '+', 'a', '*', 'k', '+', 'w']	+*+	incongruent	True	sensitive	a + y * w + k	n	0	1.920701563009061
78	binary2	['d', '+', 'n', '*', 'f', '+', 'y']	+*+	incongruent	True	sensitive	d + f * n + y	y	1	2.1371688159997575
79	binary2	['s', '*', 'w', '*', 'e', '+', 't']	**+	congruent	assorted	assorted	e * s * t + w	n	0	1.98719810298644
80	binary2	['j', '*', 'a', '+', 'k', '*', 's']	*+*	congruent	True	sensitive	k * s + j * a	y	1	0.9045339250005782
81	binary2	['m', '*', 'y', '+', 'j', '*', 'x']	*+*	congruent	False	insensitive	j * m + x * y	n	1	1.5360231900122017
82	binary2	['b', '+', 'v', '*', 'j', '+', 'n']	+*+	congruent	True	sensitive	n + v * j + b	n	0	2.069963632035069
83	nonaccent	['p', '*', 'j', '+', 'e', '*', 'c']	*+*	neutral	True	sensitive	e * c + p * j	d	0	3.999636771972291
84	binary2	['u', '*', 's', '+', 'x', '*', 'w']	*+*	incongruent	False	insensitive	s * x + u * w	n	1	1.555053840042092
85	binary2	['v', '+', 'w', '*', 'd', '+', 'c']	+*+	incongruent	True	sensitive	d + c * v + w	n	0	3.3539250459871255
86	binary2	['d', '+', 'm', '*', 'w', '+', 'h']	+*+	congruent	False	insensitive	m + w * d + h	n	1	3.07112496602349
87	binary2	['a', '*', 'k', '+', 'c', '/', 'd']	*+/	congruent	assorted	assorted	c * a + d / k	n	0	2.3699897180194966
88	binary2	['f', '*', 'z', '+', 'g', '/', 'x']	*+/	congruent	assorted	assorted	f * z + g / x	y	0	2.8205534900189377
89	binary2	['y', '*', 'v', '+', 'z', '/', 'x']	*+/	congruent	assorted	assorted	v * z + y / x	y	0	1.382375306042377
90	binary	['b', '*', 'k', '+', 'r', '*', 'e']	*+*	incongruent	True	insensitive	e * r + k * b	y	1	2.002601998974569
91	binary2	['a', '+', 'p', '*', 'g', '+', 'e']	+*+	congruent	True	insensitive	e + g * p + a	y	1	4.4533122350112535
92	nonaccent	['q', '*', 'd', '+', 'j', '*', 'm']	*+*	neutral	False	sensitive	m * d + j * q	n	1	4.8045559649472125
93	binary2	['x', '+', 'e', '*', 'n', '+', 'u']	+*+	incongruent	True	sensitive	u + e * n + x	y	1	1.2530008960166015
94	binary2	['g', '*', 'w', '+', 'd', '*', 'z']	*+*	congruent	False	insensitive	d * g + z * w	n	1	1.954169914999511
95	nonaccent	['q', '*', 'm', '+', 't', '*', 'p']	*+*	neutral	True	sensitive	m * q + p * t	y	1	1.1361447970266454
96	binary	['c', '*', 'p', '+', 'b', '*', 'z']	*+*	congruent	True	sensitive	p * c + z * b	y	1	1.5199142179917544
97	binary2	['z', '+', 't', '*', 'f', '+', 'h']	+*+	incongruent	True	sensitive	t + z * h + f	d	0	2.2880738850217313
98	binary	['x', '*', 'w', '+', 'n', '*', 'h']	*+*	incongruent	False	sensitive	x * n + w * h	d	0	1.988869097956922
99	binary	['y', '+', 'r', '*', 'e', '+', 'g']	+*+	incongruent	True	sensitive	g + r * e + y	y	1	1.287202299979981
100	binary	['f', '*', 'g', '+', 'v', '*', 'r']	*+*	incongruent	False	sensitive	r * g + v * f	y	0	1.1198554830043577
101	binary2	['g', '*', 'd', '+', 'e', '*', 'a']	*+*	congruent	False	sensitive	a * d + e * g	n	1	1.8047440139926039
102	binary	['b', '*', 'f', '+', 'k', '*', 'g']	*+*	incongruent	True	insensitive	g * k + f * b	y	1	5.237681656028144
103	binary	['a', '+', 'z', '*', 'j', '+', 'd']	+*+	incongruent	True	sensitive	a + j * z + d	y	1	6.650013701990247
104	binary2	['p', '*', 'n', '+', 'z', '*', 'e']	*+*	congruent	True	insensitive	p * n + z * e	y	1	0.8702375440043397
105	binary2	['y', '+', 's', '*', 'a', '+', 'b']	+*+	incongruent	False	insensitive	a + y * b + s	n	1	1.304561949975323
106	nonaccent	['b', '*', 'm', '+', 'j', '*', 'f']	*+*	neutral	False	insensitive	j * b + f * m	n	1	1.2869662329903804
107	binary2	['b', '+', 'x', '*', 'r', '+', 'v']	+*+	incongruent	False	insensitive	x + r * b + v	n	1	1.521043215005193
108	nonaccent	['c', '*', 'e', '+', 'f', '*', 'v']	*+*	neutral	True	sensitive	e * c + v * f	y	1	1.0566756110056303
109	binary	['b', '+', 'r', '*', 'g', '+', 'q']	+*+	congruent	True	insensitive	q + g * r + b	y	1	1.7367496559745632
110	binary2	['y', '*', 'n', '+', 'z', '*', 'b']	*+*	congruent	True	sensitive	z * b + y * n	n	0	1.703942176012788
111	binary	['r', '*', 'k', '+', 'x', '*', 'a']	*+*	congruent	False	sensitive	a * k + x * r	n	1	1.1537082479917444
