Trial	Beat	Sentence	Sentence_extraction	Congruency	Validity	Sensitivity	Probe	Response	Accuracy	RT
112	binary2	['k', '*', 'g', '*', 'j', '+', 'c']	**+	incongruent	assorted	assorted	k * g * j + c	n	0	1.9193803560337983
113	binary	['e', '*', 'z', '+', 'k', '*', 'w']	*+*	congruent	True	insensitive	e * z + k * w	y	1	0.8513404240366071
114	nonaccent	['x', '*', 'd', '+', 'v', '*', 'm']	*+*	neutral	True	insensitive	m * v + d * x	y	1	1.7028585149673745
115	binary	['z', '*', 'x', '+', 'g', '*', 'v']	*+*	congruent	True	insensitive	v * g + x * z	y	1	1.3372571599902585
116	binary	['a', '*', 'h', '+', 'r', '/', 'v']	*+/	incongruent	assorted	assorted	h * a + v / r	d	0	2.1885041409987025
117	binary	['z', '+', 'n', '*', 'q', '+', 'm']	+*+	congruent	True	sensitive	n + z * m + q	n	0	1.2838994359481148
118	binary	['s', '*', 'e', '+', 'x', '*', 'a']	*+*	congruent	True	sensitive	e * s + a * x	y	1	1.1700826049782336
119	binary	['b', '*', 'g', '*', 'n', '+', 'r']	**+	incongruent	assorted	assorted	g * n * b + r	y	0	1.4882740849861875
120	binary2	['e', '*', 'p', '*', 'q', '+', 'v']	**+	congruent	assorted	assorted	v * p * q + e	n	0	5.7872585309669375
121	binary	['c', '*', 'x', '+', 'v', '*', 'g']	*+*	incongruent	False	insensitive	x * v + c * g	n	1	2.5552358760032803
122	nonaccent	['y', '+', 'k', '*', 'a', '+', 'w']	+*+	neutral	True	sensitive	y + a * k + w	y	1	0.9830070410389453
123	binary2	['t', '*', 'z', '+', 'u', '/', 's']	*+/	congruent	assorted	assorted	z * t + s / u	y	0	1.266832843015436
124	binary	['c', '*', 't', '+', 'k', '*', 'r']	*+*	congruent	False	insensitive	t * k + c * r	n	1	1.5047309200163
125	nonaccent	['u', '+', 'w', '*', 'r', '+', 's']	+*+	neutral	False	insensitive	r + u * s + w	y	0	1.8704816169920377
126	binary2	['m', '*', 'y', '+', 'r', '*', 'a']	*+*	congruent	False	sensitive	m * r + y * a	n	1	0.9539442419772968
127	binary2	['c', '+', 'y', '*', 'r', '+', 'e']	+*+	congruent	True	sensitive	y + c * e + r	n	0	2.3877116439980455
128	binary	['u', '*', 'z', '+', 'e', '*', 'r']	*+*	incongruent	True	sensitive	z * u + r * e	d	0	2.752671736991033
129	binary	['f', '*', 'd', '+', 'j', '*', 'u']	*+*	congruent	False	sensitive	f * j + d * u	n	1	1.871687725011725
130	binary	['h', '*', 'w', '+', 'q', '*', 't']	*+*	incongruent	True	sensitive	w * h + t * q	d	0	1.5880192660260946
131	binary	['e', '*', 'w', '+', 't', '*', 'g']	*+*	congruent	False	insensitive	t * e + g * w	n	1	0.9527687529916875
132	nonaccent	['q', '*', 's', '+', 'd', '*', 't']	*+*	neutral	False	insensitive	s * d + q * t	n	1	1.2690642490051687
133	binary	['d', '+', 'g', '*', 'q', '+', 'w']	+*+	congruent	True	sensitive	q + w * d + g	n	0	2.2532898380304687
134	binary	['j', '*', 'm', '*', 'z', '+', 'k']	**+	incongruent	assorted	assorted	k * z * m + j	y	0	1.819679647043813
135	binary	['f', '*', 'k', '+', 'x', '*', 'h']	*+*	incongruent	True	insensitive	f * k + x * h	d	0	3.0197339830338024
136	binary	['p', '*', 'u', '+', 'q', '*', 'd']	*+*	congruent	False	insensitive	q * p + d * u	y	0	2.4366381970467046
137	nonaccent	['n', '*', 'c', '+', 't', '*', 'b']	*+*	neutral	False	insensitive	t * n + b * c	n	1	1.652839945978485
138	binary2	['d', '*', 'h', '+', 'n', '*', 'k']	*+*	incongruent	True	sensitive	n * k + d * h	d	0	3.4203798049711622
139	nonaccent	['d', '+', 't', '*', 'w', '+', 'r']	+*+	neutral	True	sensitive	d + w * t + r	y	1	0.9377889829920605
140	binary2	['q', '*', 'b', '+', 'a', '/', 'w']	*+/	incongruent	assorted	assorted	b * a + q / w	n	0	1.7184276839834638
141	binary	['w', '*', 'd', '*', 'q', '+', 't']	**+	congruent	assorted	assorted	d * q * w + t	y	0	1.5050120489904657
142	nonaccent	['e', '+', 'f', '*', 'z', '+', 'n']	+*+	neutral	True	sensitive	e + z * f + n	y	1	0.9703061240143143
143	binary2	['a', '+', 'x', '*', 't', '+', 'q']	+*+	incongruent	False	insensitive	t + a * q + x	n	1	1.489199000003282
144	binary	['p', '+', 'k', '*', 'd', '+', 'g']	+*+	incongruent	True	insensitive	g + d * k + p	y	1	0.9531890780199319
145	binary2	['b', '*', 'k', '+', 'h', '*', 'y']	*+*	congruent	True	sensitive	k * b + y * h	y	1	0.9030054599861614
146	binary2	['b', '+', 'r', '*', 'v', '+', 'a']	+*+	incongruent	True	insensitive	b + r * v + a	y	1	1.186606188013684
147	binary2	['a', '*', 't', '+', 'e', '/', 'b']	*+/	congruent	assorted	assorted	e * b + a / t	n	0	1.1879986099665985
148	nonaccent	['g', '+', 't', '*', 'z', '+', 'j']	+*+	neutral	True	sensitive	z + j * g + t	n	0	1.2707501840195619
149	binary2	['n', '+', 'm', '*', 'k', '+', 't']	+*+	incongruent	True	sensitive	m + n * t + k	n	0	1.154855924018193
150	binary	['e', '*', 'd', '+', 'b', '*', 'q']	*+*	congruent	False	sensitive	e * b + d * q	n	1	1.8537512350012548
151	nonaccent	['d', '+', 'a', '*', 'u', '+', 'k']	+*+	neutral	True	sensitive	u + k * d + a	n	0	1.336303742020391
152	binary	['s', '*', 'r', '+', 'm', '*', 'j']	*+*	congruent	False	sensitive	s * m + r * j	n	1	1.286730386025738
153	binary	['k', '+', 'n', '*', 'e', '+', 'h']	+*+	congruent	True	insensitive	k + n * e + h	y	1	1.0199790979968384
154	binary	['n', '*', 'g', '+', 'b', '*', 'm']	*+*	congruent	True	insensitive	n * g + b * m	y	1	2.6365151509526186
155	binary2	['s', '*', 'e', '+', 'h', '/', 'w']	*+/	incongruent	assorted	assorted	w * h + e / s	n	0	1.9542524389689788
156	binary	['d', '*', 'f', '+', 'z', '*', 'q']	*+*	congruent	False	insensitive	f * z + d * q	n	1	0.9705677410238422
157	nonaccent	['m', '+', 'b', '*', 'y', '+', 'k']	+*+	neutral	False	insensitive	b + y * m + k	n	1	2.070274926023558
158	binary	['f', '*', 'p', '+', 'd', '/', 'k']	*+/	congruent	assorted	assorted	d * k + f / p	n	0	1.582475770963356
159	binary	['x', '*', 'b', '+', 'k', '/', 'a']	*+/	congruent	assorted	assorted	b * x + a / k	n	0	3.18813326198142
160	binary2	['p', '*', 'a', '+', 'z', '*', 't']	*+*	incongruent	False	sensitive	t * a + z * p	d	0	4.754116055963095
161	nonaccent	['v', '+', 'k', '*', 'x', '+', 'w']	+*+	neutral	True	sensitive	w + k * x + v	y	1	1.1541435009567067
162	binary	['d', '*', 'c', '+', 'f', '/', 'p']	*+/	incongruent	assorted	assorted	p * c + f / d	n	0	1.620776338968426
163	binary2	['h', '*', 's', '*', 'q', '+', 'e']	**+	incongruent	assorted	assorted	q * h * e + s	y	0	1.2041282550198957
164	binary2	['p', '+', 'n', '*', 'b', '+', 's']	+*+	congruent	False	insensitive	n + b * p + s	n	1	1.3877463499666192
165	binary2	['h', '*', 'y', '+', 'x', '*', 'c']	*+*	incongruent	True	sensitive	y * h + c * x	y	1	1.3371273739612661
166	binary2	['c', '*', 's', '+', 'd', '*', 'u']	*+*	congruent	True	sensitive	d * u + c * s	y	1	1.1492026370251551
167	binary	['j', '*', 'b', '+', 'e', '/', 'n']	*+/	congruent	assorted	assorted	n * b + e / j	n	0	1.9199804220115766
168	binary2	['p', '*', 't', '+', 'k', '/', 'x']	*+/	congruent	assorted	assorted	x * t + k / p	y	0	0.9546839699614793
169	binary	['c', '+', 't', '*', 'm', '+', 'e']	+*+	congruent	False	insensitive	t + m * c + e	n	1	1.1038701959769242
170	binary	['p', '+', 'z', '*', 'e', '+', 't']	+*+	congruent	False	insensitive	e + p * t + z	n	1	1.0381612530327402
171	binary2	['j', '+', 'x', '*', 'w', '+', 'n']	+*+	incongruent	True	sensitive	n + x * w + j	y	1	2.0543234280194156
172	binary	['w', '+', 'z', '*', 'a', '+', 'r']	+*+	incongruent	True	sensitive	z + w * r + a	y	1	1.7041112850420177
173	binary2	['p', '+', 'y', '*', 'j', '+', 'f']	+*+	congruent	True	sensitive	j + f * p + y	n	0	1.8196694929501973
174	binary	['d', '+', 'q', '*', 'h', '+', 'j']	+*+	incongruent	True	sensitive	d + h * q + j	y	1	1.1219377819797955
175	binary	['x', '+', 'e', '*', 'r', '+', 'g']	+*+	congruent	True	sensitive	g + e * r + x	y	1	0.7049501439905725
176	binary	['q', '*', 'k', '*', 'w', '+', 'c']	**+	congruent	assorted	assorted	w * q * c + k	n	0	2.049439580994658
177	binary	['p', '+', 'd', '*', 'y', '+', 'x']	+*+	congruent	True	insensitive	p + d * y + x	y	1	1.5042792580206878
178	binary2	['k', '*', 'f', '+', 'r', '*', 'z']	*+*	congruent	True	insensitive	z * r + f * k	y	1	2.287171984964516
179	binary	['m', '*', 'd', '+', 't', '/', 's']	*+/	congruent	assorted	assorted	t * m + s / d	y	0	1.2382567549939267
180	binary	['s', '*', 'g', '+', 'c', '*', 'y']	*+*	congruent	False	sensitive	y * g + c * s	n	1	1.7701694080024026
181	nonaccent	['w', '*', 't', '+', 'h', '*', 'u']	*+*	neutral	False	insensitive	t * h + w * u	n	1	2.5891917740227655
182	binary	['h', '*', 'q', '+', 'y', '*', 'n']	*+*	congruent	True	sensitive	y * n + h * q	y	1	1.004774464003276
183	binary2	['p', '*', 'j', '+', 't', '*', 'y']	*+*	incongruent	False	sensitive	p * t + j * y	n	1	1.9541638300288469
184	nonaccent	['j', '+', 'd', '*', 'm', '+', 's']	+*+	neutral	True	sensitive	d + j * s + m	d	0	2.754397377022542
185	binary	['y', '*', 'd', '*', 'x', '+', 'v']	**+	congruent	assorted	assorted	x * v * y + d	y	0	1.75435522897169
186	binary	['j', '*', 'r', '+', 'p', '*', 's']	*+*	incongruent	True	sensitive	p * s + j * r	y	1	1.2706891809939407
187	nonaccent	['q', '+', 's', '*', 'v', '+', 'y']	+*+	neutral	True	sensitive	y + s * v + q	y	1	2.5046710139722563
188	binary2	['c', '+', 'd', '*', 's', '+', 'a']	+*+	congruent	True	sensitive	a + d * s + c	y	1	1.3214803200098686
189	binary	['r', '+', 'p', '*', 'w', '+', 'g']	+*+	congruent	True	sensitive	w + g * r + p	y	1	2.30442896700697
190	binary2	['h', '+', 'k', '*', 'j', '+', 'g']	+*+	incongruent	True	insensitive	g + j * k + h	y	1	1.6042999760247767
191	binary	['b', '+', 'x', '*', 'n', '+', 'c']	+*+	incongruent	False	insensitive	n + b * c + x	y	0	1.4381446029874496
192	binary2	['n', '*', 'u', '+', 'v', '*', 'b']	*+*	congruent	False	sensitive	n * v + u * b	n	1	2.286417514027562
193	nonaccent	['z', '+', 'm', '*', 'v', '+', 'c']	+*+	neutral	True	insensitive	z + m * v + c	y	1	1.5535181169980206
194	binary2	['r', '+', 'f', '*', 'c', '+', 'j']	+*+	congruent	False	insensitive	c + r * j + f	n	1	2.5005019410164095
195	binary2	['b', '*', 'e', '+', 'd', '*', 'x']	*+*	incongruent	True	insensitive	x * d + e * b	n	0	2.5540060969651677
196	binary	['u', '*', 'p', '*', 'q', '+', 't']	**+	incongruent	assorted	assorted	p * u * t + q	d	0	1.50357088400051
197	binary	['z', '*', 'q', '+', 'y', '/', 's']	*+/	congruent	assorted	assorted	z * y + q / s	n	0	1.3385623100330122
198	binary2	['h', '*', 'a', '+', 'q', '*', 'y']	*+*	congruent	False	insensitive	q * h + y * a	n	1	1.2542306079994887
199	binary2	['d', '*', 'f', '+', 'x', '*', 'n']	*+*	incongruent	True	insensitive	d * f + x * n	y	1	1.236211423005443
200	binary	['u', '+', 'e', '*', 'x', '+', 'g']	+*+	congruent	True	sensitive	u + x * e + g	y	1	0.9216061700135469
201	binary2	['s', '*', 'q', '+', 'z', '*', 'c']	*+*	incongruent	True	insensitive	c * z + q * s	y	1	1.2034786519943736
202	nonaccent	['s', '+', 'z', '*', 'g', '+', 'u']	+*+	neutral	True	insensitive	s + z * g + u	y	1	1.0382070019841194
203	nonaccent	['x', '*', 'd', '+', 'c', '*', 'b']	*+*	neutral	True	insensitive	b * c + d * x	n	0	1.5327830430469476
204	binary2	['b', '*', 'f', '+', 'c', '/', 'v']	*+/	incongruent	assorted	assorted	f * b + v / c	n	0	1.3539730869815685
205	binary2	['a', '+', 'd', '*', 'n', '+', 'w']	+*+	congruent	True	sensitive	d + a * w + n	n	0	1.9166890420019627
206	binary	['a', '*', 'e', '+', 'q', '*', 'w']	*+*	incongruent	True	sensitive	q * w + a * e	d	0	2.299544140987564
207	binary2	['s', '*', 'h', '+', 'a', '*', 'p']	*+*	incongruent	True	insensitive	s * h + a * p	y	1	2.220319659973029
